Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
ALO,42.0,,155.0,1305.0,177.0,100086,5047.0,155.0,42025,195.0,453.0,209.0,34087,1000.0,126.0,8483,200.0,345.0,199.0,2133,,,0,196.0,1421.0,196.0,123231,10493.0,180.0,49496,200.0,916.0,240.0,17144,,,0,170.0,373.0,170.0,28078,229.0,90.0,1329
ALR,,,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0
AMM,61.0,,161.07000732421875,449.0,170.0,25504,500.0,130.0,12042,105.0,50.0,100.0,123703,400.0,92.0,2736,100.0,541.0,100.0,2084,50.0,95.0,50,150.0,22786.0,150.0,117190,3624.0,110.0,85530,90.0,500.0,100.0,3773,1914.0,90.0,1914,125.0,3726.0,125.0,29310,200.0,103.0,21929
ANZ,,,70600.546875,,,0,,,0,70600.546875,,,0,,,0,70600.546875,,,0,,,0,70600.546875,,,0,,,0,70600.546875,,,0,,,0,70600.546875,,,0,,,0
APT,,,16500.0,142.0,16500.0,729,200.0,12200.0,200,20000.0,43.0,25000.0,43,,,0,6935.35009765625,,,0,,,0,15000.0,,,0,,,0,6935.35009765625,,,0,,,0,50000.0,1.0,50000.0,1,,,0
AR,,,140.0,70.0,175.0,45682,2954.0,140.0,38836,153.0,983.0,153.0,137627,1000.0,141.0,23600,200.0,260.0,200.0,260,1000.0,150.0,1000,227.0,435.0,227.0,27750,147.0,165.0,13247,400.0,200.0,270.0,200,,,0,200.0,294.0,200.0,11263,50.0,175.0,3687
ARP,,,10000.0,43.0,10000.0,121,,,0,8500.0,,,0,,,0,4639.3798828125,,,0,,,0,8500.0,98.0,8500.0,101,,,0,4639.3798828125,,,0,,,0,4639.3798828125,,,0,,,0
ASE,,,41200.0,37.0,41200.0,659,140.0,39100.0,1098,39000.0,5.0,40000.0,268,303.0,39000.0,420,42000.0,,,0,10.0,33000.0,10,35000.0,234.0,37900.0,1176,175.0,35000.0,675,19526.619140625,10.0,48000.0,10,,,0,42682.8515625,40.0,42900.0,587,4.0,40400.0,148
AST,,,3200.0,292.0,3100.0,1965,77.0,2570.0,3934,3750.0,40.0,3700.0,128,836.0,2010.0,937,1626.449951171875,100.0,10000.0,100,,,0,4300.0,152.0,3990.0,9481,1000.0,2000.0,1002,2000.0,,,0,,,0,2500.0,16.0,4900.0,32,936.0,2500.0,936
ATA,,,28337.5,22.0,28400.0,804,22.0,25600.0,182,24000.0,15.0,27000.0,235,38.0,24000.0,188,1600.0,,,0,,,0,22500.0,6.0,26000.0,1037,59.0,22500.0,226,15767.91015625,10.0,38000.0,10,,,0,28800.0,15.0,28800.0,497,12.0,25000.0,92
ATP,,,9000.0,,,0,196.0,9000.0,196,30000.0,,,0,,,0,12361.0,,,0,,,0,35000.0,,,0,,,0,12361.0,,,0,,,0,25000.0,3.0,25000.0,3,,,0
AU,,,1800.0,499.0,1800.0,8601,18.0,1650.0,851,1600.0,10.0,1590.0,1348,768.0,1510.0,1543,950.0,,,0,,,0,1690.0,1111.0,1690.0,13217,863.0,1530.0,3833,998.0,51.0,2000.0,51,,,0,1230.0,3.0,1600.0,3939,30.0,1240.0,2103
AUO,137.0,,450.0,500.0,450.0,23306,500.0,323.0,8081,345.0,461.0,345.0,5135,24.0,240.0,1380,225.0,,,0,900.0,225.0,900,350.0,2364.0,350.0,30536,200.0,286.0,17528,270.0,,,0,,,0,155.0,300.0,185.0,3545,1917.0,155.0,2017
AWF,,,5500.0,13.0,5800.0,243,50.0,5500.0,50,5900.0,17.0,5900.0,105,,,0,2940.56005859375,,,0,,,0,5000.0,27.0,6000.0,441,30.0,5000.0,130,2940.56005859375,5.0,5950.0,5,,,0,6000.0,3.0,6000.0,13,,,0
AWH,,,16600.0,530.0,18000.0,1039,100.0,16500.0,200,12500.0,200.0,24000.0,225,,,0,8377.23046875,,,0,,,0,19000.0,97.0,19000.0,217,37.0,10000.0,137,8377.23046875,,,0,,,0,25000.0,200.0,24800.0,229,,,0
BAC,,,1867.72998046875,130.0,2000.0,4822,129.0,1530.0,579,2261.639892578125,70.0,2390.0,581,,,0,1276.02001953125,,,0,,,0,1900.0,260.0,1900.0,6908,442.0,1780.0,1942,1276.02001953125,10.0,2250.0,10,,,0,2200.0,205.0,2290.0,4855,50.0,2000.0,80
BAI,,,17000.0,10.0,18000.0,60,20.0,17000.0,341,17000.0,,,0,95.0,17000.0,97,6790.0,,,0,,,0,18000.0,38.0,18000.0,58,38.0,17000.0,269,6790.0,,,0,,,0,20000.0,,,0,100.0,17000.0,100
BBH,750.0,2900.0,2900.0,100.0,2900.0,106,2.0,2500.0,1790,2890.0,49.0,2890.0,149,156.0,2700.0,1029,2540.0,,,0,30.0,2000.0,69,2820.0,100.0,2900.0,105,356.0,2820.0,4478,2900.0,36.0,2900.0,325,10.0,1900.0,59,2900.0,100.0,2900.0,100,5.0,2890.0,619
