Ticker,Exchange,Category,Tier,Ask_Price,Bid_Price,Supply,Demand,Traded,Saturation,Input_Cost,Profit_Ask,Profit_Bid,ROI_Ask,ROI_Bid,Investment_Score,Risk,Viability,Input Cost per Unit,Input Cost per Stack,Input Cost per Hour,Recipe,Building
ATP,AI1,ship parts,3.0,0.0,9000.0,0.0,196.0,0.0,0.0,0.0,0.0,9000.0,0,0,0.0,Low,Unknown,25112.46000011116,50224.92000022232,8370.820000037054,HWP:2xBOS-2xCTF-1xHE=>2xATP,HWP
AU,AI1,metals,1.0,1690.0,1530.0,8977.0,478.0,38.0,200.0,0.0,1690.0,1530.0,0,0,0.0,Low,Unknown,1258.5125001089648,2517.0250002179296,233.05787039054903,SME:3xAUO-1xC=>2xAU,SME
AWF,AI1,electronic devices,3.0,5800.0,5500.0,243.0,50.0,13.0,200.0,0.0,5800.0,5500.0,0,0,0.0,Low,Unknown,4479.425999862611,22397.129999313056,1435.7134614944266,ELP:10xBAC-1xMAG-10xPE=>5xAWF,ELP
AWH,AI1,ship shields,3.0,18000.0,16500.0,739.0,220.0,530.0,200.0,0.0,18000.0,16500.0,0,0,0.0,Low,Unknown,17649.584000044466,176495.84000044467,14707.98666670372,HWP:4xCTF-1xHE-2xTI-2xTK=>10xAWH,HWP
BAC,AI1,chemicals,3.0,2050.0,1500.0,4792.0,500.0,510.0,200.0,0.0,2050.0,1500.0,0,0,0.0,High,Unknown,201.29480025041104,2012.9480025041105,38.124015198941485,LAB:1xHCP-1xO-1xS=>10xBAC,LAB
BAI,AI1,software components,0.0,18000.0,17000.0,10.0,387.0,10.0,2.58,0.0,18000.0,17000.0,0,0,0.0,Low,Unknown,5375.500004693866,5375.500004693866,111.9895834311222,SD:=>1xBAI,SD
BBH,AI1,construction prefabs,1.0,2900.0,2550.0,106.0,2049.0,100.0,5.17,0.0,2900.0,2550.0,0,0,0.0,Medium,Unknown,2636.456000255704,2636.456000255704,332.8858586181445,PP1:2xFE-1xLST=>1xBBH,PP1
BBH,AI1,construction prefabs,1.0,2900.0,2550.0,106.0,2049.0,100.0,5.17,0.0,2900.0,2550.0,0,0,0.0,Medium,Unknown,2206.062500060536,2206.062500060536,367.6770833434227,PP2:2xAL-1xLST=>1xBBH,PP2
BCO,AI1,electronic pieces,2.0,695.0,675.0,8312.0,8300.0,80.0,100.14,0.0,695.0,675.0,0,0,0.0,Low,Unknown,543.1379943113029,5431.379943113029,754.3583254323652,FS:1xCU-300xPE=>10xBCO,FS
BDE,AI1,construction prefabs,1.0,2700.0,2630.0,100.0,1084.0,100.0,9.23,0.0,2700.0,2630.0,0,0,0.0,Low,Unknown,1907.4599716222285,1907.4599716222285,264.9249960586428,PP1:150xPE=>1xBDE,PP1
BDE,AI1,construction prefabs,1.0,2700.0,2630.0,100.0,1084.0,100.0,9.23,0.0,2700.0,2630.0,0,0,0.0,Low,Unknown,2028.062500060536,2028.062500060536,338.010416676756,PP2:40xPG=>1xBDE,PP2
BE,AI1,elements,4.0,1500.0,1310.0,25305.0,1913.0,1884.0,200.0,0.0,1500.0,1310.0,0,0,0.0,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
BEA,AI1,agricultural products,1.0,369.0,340.0,12217.0,8497.0,639.0,143.78,0.0,369.0,340.0,0,0,0.0,Low,Unknown,128.06250006053597,256.12500012107193,42.68750002017865,FRM:1xH2O=>2xBEA,FRM
BEA,AI1,agricultural products,1.0,369.0,340.0,12217.0,8497.0,639.0,143.78,0.0,369.0,340.0,0,0,0.0,Low,Unknown,146.45000004842876,585.800000193715,61.02083335351199,FRM:6xH2O=>4xBEA,FRM
BFP,AI1,ship engines,5.0,25000.0,0.0,2.0,0.0,2.0,100.0,0.0,25000.0,0.0,0,0,0.0,High,Unknown,30548.900003008544,30548.900003008544,4242.902778195631,SPF:50xPG-1xSFK-5xTHP=>1xBFP,SPF
